                    *********************************************************************************
                    *  Z= 91 A=233: Positive-Parity Spin-dependent Level Density [MeV-1] for PA233  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  18.00  0.922  7.42E+13 4.21E+13 1.83E+15 1.90E+09 2.48E+09 1.16E+09 8.64E+08 7.07E+08 2.26E+09 1.56E+09 2.98E+08 9.31E+07 2.13E+09 9.74E+09 1.45E+09 7.47E+08 4.54E+08 1.09E+10 9.32E+10 4.84E+11 2.03E+12 4.02E+12 7.03E+12 8.19E+12 6.32E+12 4.65E+12 3.28E+12 2.23E+12 1.47E+12 9.56E+11 6.19E+11 4.16E+11 2.23E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.947  1.41E+14 9.06E+13 4.01E+15 1.10E+09 1.31E+09 4.48E+08 2.86E+08 2.28E+08 8.43E+08 4.68E+08 5.72E+07 1.24E+07 5.85E+08 3.81E+09 3.39E+08 1.41E+08 7.61E+07 3.95E+09 5.58E+10 4.35E+11 2.68E+12 6.54E+12 1.42E+13 1.86E+13 1.47E+13 1.10E+13 7.84E+12 5.40E+12 3.61E+12 2.37E+12 1.55E+12 1.07E+12 5.80E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.972  2.86E+14 2.00E+14 8.97E+15 6.32E+08 6.93E+08 1.73E+08 9.46E+07 7.38E+07 3.14E+08 1.40E+08 1.10E+07 1.66E+06 1.61E+08 1.49E+09 7.95E+07 2.67E+07 1.28E+07 1.42E+09 3.34E+10 3.92E+11 3.53E+12 1.07E+13 2.86E+13 4.23E+13 3.42E+13 2.60E+13 1.87E+13 1.31E+13 8.87E+12 5.86E+12 3.89E+12 2.73E+12 1.51E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.031  2.48E+15 1.55E+15 7.09E+16 1.60E+08 1.41E+08 1.60E+07 5.95E+06 4.37E+06 2.66E+07 6.94E+06 1.77E+05 1.08E+04 6.42E+06 1.43E+08 2.11E+06 4.17E+05 1.47E+05 1.12E+08 9.28E+09 3.00E+11 7.06E+12 3.61E+13 1.65E+14 3.29E+14 2.82E+14 2.24E+14 1.65E+14 1.19E+14 8.37E+13 5.66E+13 3.87E+13 2.87E+13 1.65E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.086  2.02E+16 1.27E+16 5.87E+17 4.03E+07 2.87E+07 1.48E+06 3.75E+05 2.59E+05 2.25E+06 3.43E+05 2.86E+03 7.00E+01 2.55E+05 1.36E+07 5.61E+04 6.49E+03 1.69E+03 8.73E+06 2.57E+09 2.30E+11 1.41E+13 1.22E+14 9.55E+14 2.56E+15 2.32E+15 1.92E+15 1.46E+15 1.09E+15 7.90E+14 5.46E+14 3.85E+14 3.01E+14 1.81E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.190  2.32E+18 9.07E+17 4.31E+19 2.57E+06 1.19E+06 1.27E+04 1.48E+03 9.10E+02 1.62E+04 8.36E+02 7.47E-01 0.00E+00 4.05E+02 1.25E+05 3.96E+01 1.58E+00 2.23E-01 5.35E+04 1.98E+08 1.35E+11 5.64E+13 1.40E+15 3.19E+16 1.55E+17 1.58E+17 1.42E+17 1.13E+17 9.06E+16 7.04E+16 5.08E+16 3.82E+16 3.32E+16 2.16E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.374  2.40E+22 4.80E+21 2.32E+23 1.05E+04 2.05E+03 9.30E-01 2.33E-02 0.00E+00 8.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.05E+01 0.00E+00 0.00E+00 0.00E+00 2.01E+00 1.18E+06 4.67E+10 8.99E+14 1.85E+17 3.55E+19 5.72E+20 7.31E+20 7.77E+20 6.86E+20 6.27E+20 5.59E+20 4.41E+20 3.75E+20 9.90E+16 6.45E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.536  9.61E+22 9.61E+21 4.63E+23 4.26E+01 3.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.00E+03 1.61E+10 1.43E+16 3.68E+17 7.10E+19 1.14E+21 1.46E+21 1.55E+21 1.37E+21 1.25E+21 1.12E+21 8.82E+20 7.51E+20 2.95E+17 1.92E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.683  2.40E+23 1.92E+22 9.26E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.15E+01 5.57E+09 2.29E+17 7.33E+17 1.42E+20 2.29E+21 2.92E+21 3.11E+21 2.74E+21 2.51E+21 2.24E+21 1.76E+21 1.50E+21 8.80E+17 5.74E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.818  5.28E+23 3.84E+22 1.85E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.92E+09 3.65E+18 1.46E+18 2.84E+20 4.57E+21 5.84E+21 6.22E+21 5.49E+21 5.02E+21 4.47E+21 3.53E+21 3.00E+21 2.62E+18 1.71E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.943  1.11E+24 7.69E+22 3.71E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.64E+08 5.83E+19 2.91E+18 5.67E+20 9.14E+21 1.17E+22 1.24E+22 1.10E+22 1.00E+22 8.94E+21 7.06E+21 6.01E+21 7.82E+18 5.11E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.061  2.26E+24 1.55E+23 7.44E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.29E+08 9.30E+20 5.80E+18 1.13E+21 1.83E+22 2.34E+22 2.49E+22 2.19E+22 2.01E+22 1.79E+22 1.41E+22 1.20E+22 2.33E+19 1.52E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.173  4.65E+24 3.22E+23 1.54E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.92E+07 1.48E+22 1.16E+19 2.27E+21 3.66E+22 4.67E+22 4.97E+22 4.39E+22 4.01E+22 3.58E+22 2.82E+22 2.40E+22 6.96E+19 4.54E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.279  1.05E+25 8.51E+23 3.82E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.74E+07 2.37E+23 2.30E+19 4.53E+21 7.31E+22 9.35E+22 9.94E+22 8.78E+22 8.03E+22 7.15E+22 5.64E+22 4.80E+22 2.07E+20 1.36E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.380  3.98E+25 5.00E+24 1.95E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.45E+06 3.77E+24 4.59E+19 9.05E+21 1.46E+23 1.87E+23 1.99E+23 1.76E+23 1.61E+23 1.43E+23 1.13E+23 9.61E+22 6.19E+20 4.04E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.477  3.78E+26 6.27E+25 2.29E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.26E+06 6.02E+25 9.14E+19 1.81E+22 2.92E+23 3.74E+23 3.98E+23 3.51E+23 3.21E+23 2.86E+23 2.26E+23 1.92E+23 1.84E+21 1.21E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.571  5.52E+27 9.66E+26 3.48E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.13E+06 9.61E+26 1.82E+20 3.62E+22 5.85E+23 7.47E+23 7.95E+23 7.02E+23 6.42E+23 5.72E+23 4.51E+23 3.84E+23 5.50E+21 3.60E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.661  8.70E+28 1.53E+28 5.52E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.89E+05 1.53E+28 3.63E+20 7.23E+22 1.17E+24 1.49E+24 1.59E+24 1.40E+24 1.28E+24 1.14E+24 9.03E+23 7.68E+23 1.64E+22 1.07E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.748  1.39E+30 2.45E+29 8.80E+30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.34E+05 2.44E+29 7.23E+20 1.45E+23 2.34E+24 2.99E+24 3.18E+24 2.81E+24 2.57E+24 2.29E+24 1.81E+24 1.54E+24 4.89E+22 3.20E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.833  2.21E+31 3.90E+30 1.40E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.64E+04 3.90E+30 1.44E+21 2.89E+23 4.68E+24 5.98E+24 6.36E+24 5.62E+24 5.14E+24 4.57E+24 3.61E+24 3.07E+24 1.46E+23 9.56E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.915  3.53E+32 6.22E+31 2.24E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.60E+04 6.22E+31 2.87E+21 5.78E+23 9.35E+24 1.20E+25 1.27E+25 1.12E+25 1.03E+25 9.15E+24 7.22E+24 6.15E+24 4.35E+23 2.85E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  2.995  5.63E+33 9.93E+32 3.57E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.53E+03 9.93E+32 5.71E+21 1.16E+24 1.87E+25 2.39E+25 2.54E+25 2.25E+25 2.05E+25 1.83E+25 1.44E+25 1.23E+25 1.30E+24 8.51E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.073  8.98E+34 1.58E+34 5.70E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.91E+03 1.58E+34 1.14E+22 2.31E+24 3.74E+25 4.78E+25 5.09E+25 4.49E+25 4.11E+25 3.66E+25 2.89E+25 2.46E+25 3.87E+24 2.54E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
